2026-02-14 21:12:40.098 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.193 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.273 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.357 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.426 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.508 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.574 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.646 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.746 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.866 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:12:40.932 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the table 'public.watcher_signals' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
